Наименование,Изображение,Цена,Остаток,Упаковка,Описание,Заказ
Пакет упаковочный 60*80 см. 70мкрн,,"10,1",200,"Количество: 200 шт
Вес: 10 кг
Объем: 0.005 м",,
Пакет упаковочный 70*110 см. 80мкрн,,"20,3",700,"Количество: 1 шт
Вес: 0.1 кг
Объем: 0.00005 м",,
Поддон,,"803,2",102,"Количество: 1 шт
Вес: 17 кг
Объем: 0.18 м",,
Б-01 Рукавицы брезентовые пл.330гр.(арт.11135),,"37,2",403,"Количество: 200 пар
Вес: 19 кг
Объем: 0.08 м",Основа: брезент пл. 330 (арт.11135) Наладонник: брезент пл. 330 (арт.11135) Подналадонник: нет ,
Б-01 Рукавицы брезентовые пл.360гр.(арт.11235),,"37,8",35,"Количество: 200 пар
Вес: 19 кг
Объем: 0.08 м","Основа: брезент пл. 400 (арт.11235)
Наладонник: брезент пл. 400 (арт.11235)
Подналадонник: нет   ",
Б-02 Рукавицы брезентовые пл.330гр.(арт.11135) 2-ой налад. + п/н. пл.330гр.(арт.11135),,"44,9",147,"Количество: 200 пар
Вес: 22 кг
Объем: 0.08 м",Основа: брезент пл. 330 (арт.11135) Наладонник: брезент пл. 330 (арт.11135) Подналадонник: брезент пл. 330 (арт.11135),
Б-02 Рукавицы брезентовые пл.360гр.(арт.11235) 2-ой налад. + п/н. пл.360гр.(арт.11235),,"45,7",210,"Количество: 200 пар
Вес: 24 кг
Объем: 0.091 м","Основа: брезент пл. 400 (арт.11235)
Наладонник: брезент пл. 400 (арт.11235)
Подналадонник: брезент пл. 400  (арт.11235)",
Б-03 Рукавицы брезентовые пл.450гр.(арт.11255),,"45,5",198,"Количество: 200 пар
Вес: 20 кг
Объем: 0.095 м","Основа:   брезент пл. 460 (арт.11255)
Налодонник:   брезент пл. 460 (арт.11255)
Подналодонник: нет",
Б-04 Рукавицы брезентовые пл.450гр.(арт.11255) 2-ой налад. + п/н. пл.330гр.(арт.11135),,"54,8",94,"Количество: 200 пар
Вес: 25 кг
Объем: 0.092 м","Основа:   брезент пл. 460 (арт.11255)
Наладонник:  брезент пл. 460 (арт.11255)
Подналадонник: брезент пл. 460 (арт.11255)",
Б-06 Рукавицы брезентовые пл.480гр.(арт.11293) 2-ой налад. + п/н. пл.330гр.(арт.11135),,"57,1",80,"Количество: 200 пар
Вес: 25 кг
Объем: 0.128 м",Основа: брезент пл. 480 (арт.11293) Наладонник: брезент пл. 480 (арт.11293) Подналадонник: брезент пл. 400 (арт.11293) 	,
Б-08 Рукавицы брезентовые пл.520гр.(арт.11292) 2-ой налад. + п/н. пл.330гр.(арт.11135),,"59,3",1024,"Количество: 200 пар
Вес: 27.8 кг
Объем: 0.116 м",,
К-01 Краги брезентовые пл.360гр.(арт.11235),,"57,1",158,"Количество: 100 шт
Вес: 12.3 кг
Объем: 0.122 м",Основа: брезент пл. 400 (арт.11235),
К-02 Краги брезентовые пл.360гр.(арт.11235) 2-ой налад. + п/н пл.360гр.(арт.11235),,"65,8",79,"Количество: 100 шт
Вес: 14.25 кг
Объем: 0.094 м",Основа: брезент пл. 400 (арт.11235) Наладонник: брезент пл. 400 (арт.11235) Подналадонник: брезент пл. 400 (арт.11235) 	,
Н-01 Нарукавники брезентовые пл.360гр.(арт.11235),,"75,9",994,"Количество: 10 шт
Вес: 1.45 кг
Объем: 0.01 м",Длина 41см  ширина по нижней части 18см по верней части 21см,
Ф-01 Фартук брезентовый пл.360гр.(арт.11235) с карманом,,"111,4",536,"Количество: 100 шт
Вес: 22 кг
Объем: 0.01 м",Длина 86см  ширина 63,
У-02 Рукавицы 100% х/б пл.200-240гр. с брез.нал(арт.11135)+п/н бязь пл.105гр.+утепл.ВАТИН п/ш пл.208,,"53,9",70,"Количество: 100 пар
Вес: 13 кг
Объем: 0.12 м","Основа:   х/б диагональ пл.220
Наладонник: брезент пл. 400
Подналадонник: бязь 
Утеплитель: ватин",
БН-01 Рукавицы х/б аппрет. пл.200гр.(арт.104) с брез.нал (арт.11135) без п/н,,"30,1",1855,"Количество: 400 пар
Вес: 22 кг
Объем: 0.112 м","Основа:   х/б двунитка суровая пл.220
Наладонник: брезент пл.400 гр
Подналадонник: нет",
